name,url,book_count,scraped_at
Travel,https://books.toscrape.com/catalogue/category/books/travel_2/index.html,0,20250809_151459
Mystery,https://books.toscrape.com/catalogue/category/books/mystery_3/index.html,0,20250809_151459
Historical Fiction,https://books.toscrape.com/catalogue/category/books/historical-fiction_4/index.html,0,20250809_151459
Sequential Art,https://books.toscrape.com/catalogue/category/books/sequential-art_5/index.html,0,20250809_151459
Classics,https://books.toscrape.com/catalogue/category/books/classics_6/index.html,0,20250809_151459
Philosophy,https://books.toscrape.com/catalogue/category/books/philosophy_7/index.html,0,20250809_151459
Romance,https://books.toscrape.com/catalogue/category/books/romance_8/index.html,0,20250809_151459
Womens Fiction,https://books.toscrape.com/catalogue/category/books/womens-fiction_9/index.html,0,20250809_151459
Fiction,https://books.toscrape.com/catalogue/category/books/fiction_10/index.html,0,20250809_151459
Childrens,https://books.toscrape.com/catalogue/category/books/childrens_11/index.html,0,20250809_151459
Religion,https://books.toscrape.com/catalogue/category/books/religion_12/index.html,0,20250809_151459
Nonfiction,https://books.toscrape.com/catalogue/category/books/nonfiction_13/index.html,0,20250809_151459
Music,https://books.toscrape.com/catalogue/category/books/music_14/index.html,0,20250809_151459
Default,https://books.toscrape.com/catalogue/category/books/default_15/index.html,0,20250809_151459
Science Fiction,https://books.toscrape.com/catalogue/category/books/science-fiction_16/index.html,0,20250809_151459
Sports and Games,https://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html,0,20250809_151459
Add a comment,https://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html,0,20250809_151459
Fantasy,https://books.toscrape.com/catalogue/category/books/fantasy_19/index.html,0,20250809_151459
New Adult,https://books.toscrape.com/catalogue/category/books/new-adult_20/index.html,0,20250809_151459
Young Adult,https://books.toscrape.com/catalogue/category/books/young-adult_21/index.html,0,20250809_151459
Science,https://books.toscrape.com/catalogue/category/books/science_22/index.html,0,20250809_151459
Poetry,https://books.toscrape.com/catalogue/category/books/poetry_23/index.html,0,20250809_151459
Paranormal,https://books.toscrape.com/catalogue/category/books/paranormal_24/index.html,0,20250809_151459
Art,https://books.toscrape.com/catalogue/category/books/art_25/index.html,0,20250809_151459
Psychology,https://books.toscrape.com/catalogue/category/books/psychology_26/index.html,0,20250809_151459
Autobiography,https://books.toscrape.com/catalogue/category/books/autobiography_27/index.html,0,20250809_151459
Parenting,https://books.toscrape.com/catalogue/category/books/parenting_28/index.html,0,20250809_151459
Adult Fiction,https://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html,0,20250809_151459
Humor,https://books.toscrape.com/catalogue/category/books/humor_30/index.html,0,20250809_151459
Horror,https://books.toscrape.com/catalogue/category/books/horror_31/index.html,0,20250809_151459
History,https://books.toscrape.com/catalogue/category/books/history_32/index.html,0,20250809_151459
Food and Drink,https://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html,0,20250809_151459
Christian Fiction,https://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html,0,20250809_151459
Business,https://books.toscrape.com/catalogue/category/books/business_35/index.html,0,20250809_151459
Biography,https://books.toscrape.com/catalogue/category/books/biography_36/index.html,0,20250809_151459
Thriller,https://books.toscrape.com/catalogue/category/books/thriller_37/index.html,0,20250809_151459
Contemporary,https://books.toscrape.com/catalogue/category/books/contemporary_38/index.html,0,20250809_151459
Spirituality,https://books.toscrape.com/catalogue/category/books/spirituality_39/index.html,0,20250809_151459
Academic,https://books.toscrape.com/catalogue/category/books/academic_40/index.html,0,20250809_151459
Self Help,https://books.toscrape.com/catalogue/category/books/self-help_41/index.html,0,20250809_151459
Historical,https://books.toscrape.com/catalogue/category/books/historical_42/index.html,0,20250809_151459
Christian,https://books.toscrape.com/catalogue/category/books/christian_43/index.html,0,20250809_151459
Suspense,https://books.toscrape.com/catalogue/category/books/suspense_44/index.html,0,20250809_151459
Short Stories,https://books.toscrape.com/catalogue/category/books/short-stories_45/index.html,0,20250809_151459
Novels,https://books.toscrape.com/catalogue/category/books/novels_46/index.html,0,20250809_151459
Health,https://books.toscrape.com/catalogue/category/books/health_47/index.html,0,20250809_151459
Politics,https://books.toscrape.com/catalogue/category/books/politics_48/index.html,0,20250809_151459
Cultural,https://books.toscrape.com/catalogue/category/books/cultural_49/index.html,0,20250809_151459
Erotica,https://books.toscrape.com/catalogue/category/books/erotica_50/index.html,0,20250809_151459
Crime,https://books.toscrape.com/catalogue/category/books/crime_51/index.html,0,20250809_151459
